;SERCODIGOTROLL;FNTID;TEMID;PERID;SERNOME_P;SERDESCRICAO_P;BANCO;GRANDE_TEMA;Extração de dados;Link da fonte;Link no comentário (se houver)
416;GAC12_TCERXTS2212;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de prod.de borracha e de material plástico(média 2010=100;Taxa de câmbio - efetiva real - setor: fabricação de produtos de borracha e de material plástico (média 2010 = 100);GAC12;Macro;;;
417;GAC12_TCERXTS2312;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de produtos de minerais não-metálicos (média 2010 = 100);Taxa de câmbio - efetiva real - setor: fabricação de produtos de minerais não-metálicos (média 2010 = 100);GAC12;Macro;;;
418;GAC12_TCERXTS2412;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - metalurgia (média 2010 = 100);Taxa de câmbio - efetiva real - setor: metalurgia (média 2010 = 100);GAC12;Macro;;;
419;GAC12_TCERXTS2512;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de prod.de metal, exceto máq. e equipamentos(média2010=10;Taxa de câmbio - efetiva real - setor: fabricação de produtos de metal, exceto máquinas e equipamentos (média 2010 = 100);GAC12;Macro;;;
420;GAC12_TCERXTS2612;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de equip. de info, eletrônicos e ópticos (média 2000=100);Taxa de câmbio - efetiva real - setor: fabricação de equipamentos de informática, produtos eletrônicos e ópticos (média 2010 = 100);GAC12;Macro;;;
421;GAC12_TCERXTS2712;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de máquinas, aparelhos e mat. elétricos (média 2010 =100);Taxa de câmbio - efetiva real - setor: fabricação de máquinas, aparelhos e materiais elétricos (média 2010 = 100);GAC12;Macro;;;
422;GAC12_TCERXTS2812;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de máquinas e equipamentos (média 2010 = 100);Taxa de câmbio - efetiva real - setor: fabricação de máquinas e equipamentos (média 2010 = 100);GAC12;Macro;;;
423;GAC12_TCERXTS2912;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de veículos auto, reboques e carrocerias (média 2010=100);Taxa de câmbio - efetiva real - setor: fabricação de veículos automotores, reboques e carrocerias (média 2010 = 100);GAC12;Macro;;;
424;GAC12_TCERXTS3012;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de outros equipamentos de transporte (média 2010 = 100);Taxa de câmbio - efetiva real - setor: fabricação de outros equipamentos de transporte, exceto veículos automotores (média 2010 = 100);GAC12;Macro;;;
425;GAC12_TCERXTS3112;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de móveis (média 2010 = 100);Taxa de câmbio - efetiva real - setor: fabricação de móveis (média 2010 = 100);GAC12;Macro;;;
426;GAC12_TCERXTS3212;IPEA;Câmbio;MENSAL;Taxa de câmbio - efetiva real - fabricação de produtos diversos (média 2010 = 100);Taxa de câmbio - efetiva real - setor: fabricação de produtos diversos (média 2010 = 100);GAC12;Macro;;;
73;GM366_IBVSP366;BM&FBovespa;Financeiras;DIARIA;Índice de ações - Ibovespa - fechamento;Índice de ações: Ibovespa - fechamento;GM366;Macro;;;
74;GM366_ERC366;Bacen Outras/SGS;Câmbio;DIARIA;Taxa de câmbio - R$ / US$ - comercial - compra - média;Taxa de câmbio comercial para compra: real (R$) / dólar americano (US$) - média;GM366;Macro;;;
75;GM366_EREURO366;Bacen Outras/SGS;Câmbio;DIARIA;Zona do Euro - taxa de câmbio - euro / US$ - média;Zona do Euro - taxa de câmbio: euro / dólar americano - média;GM366;Macro;;;
76;GM366_ERV366;Bacen Outras/SGS;Câmbio;DIARIA;Taxa de câmbio - R$ / US$ - comercial - venda - média;Taxa de câmbio comercial para venda: real (R$) / dólar americano (US$) - média;GM366;Macro;;;
77;GM366_TJOVER366;Bacen Outras/SGS;Financeiras;DIARIA;Taxa de juros - Over / Selic;Taxa de juros: Overnight / Selic;GM366;Macro;;;
78;GM366_TJTR366;Bacen Outras/SGS;Financeiras;DIARIA;Taxa de juros - TR;Taxa de juros: TR;GM366;Macro;;;
90;GM366_DOW366;Valor Econômico;Economia internacional;DIARIA;índice de ações - Dow Jones - fechamento;índice de ações: Dow Jones - fechamento;GM366;Macro;;;
93;GM366_EUROC366;Bacen Outras/SGS;Câmbio;DIARIA;Zona do Euro - taxa de câmbio - R$ / euro - compra - média;Zona do Euro - taxa de câmbio: real / euro - compra - média;GM366;Macro;;;
94;GM366_EUROV366;Bacen Outras/SGS;Câmbio;DIARIA;Zona do Euro - taxa de câmbio - R$ / euro - venda - média;Zona do Euro - taxa de câmbio: real / euro - venda - média;GM366;Macro;;;
430;GM366_ERTUR366;Valor Econômico;Câmbio;DIARIA;Taxa de câmbio - R$ / US$ - turismo - venda - média;Taxa de câmbio turismo para venda: real (R$) / dólar americano (US$) - média;GM366;Macro;;;
431;GM366_ERVV366;IPEA;Câmbio;DIARIA;Taxa de câmbio - R$ / US$ - comercial - venda - média - volatilidade;Volatilidade da taxa de câmbio comercial para venda: real (R$) / dólar americano (US$) - média;GM366;Macro;;;
432;GM366_IBVSPV366;IPEA;Financeiras;DIARIA;Índice de ações - Ibovespa - fechamento - volatilidade;Volatilidade do índice de ações: Ibovespa - fechamento;GM366;Macro;;;
433;GM366_TJOVERV366;IPEA;Financeiras;DIARIA;Taxa de juros - Over / Selic - volatilidade;Volatilidade da taxa de juros: Overnight / Selic;GM366;Macro;;;
427;PRECOS_INPCBR;IBGE/SNIPC;Preços;ANUAL;Inflação - INPC;Inflação: INPC;PRECOS;Macro;;;
428;PRECOS_IPCAG;IBGE/SNIPC;Preços;ANUAL;Inflação - IPCA;Inflação: IPCA;PRECOS;Macro;;;
55;PRECOS12_INPC12;IBGE/SNIPC;Preços;MENSAL;INPC - geral - índice (dez. 1993 = 100);INPC - geral - índice (dez. 1993 = 100);PRECOS12;Macro;;;
56;PRECOS12_INPCBR12;IBGE/SNIPC;Preços;MENSAL;Inflação - INPC;Inflação: INPC;PRECOS12;Macro;;;
57;PRECOS12_IPCA12;IBGE/SNIPC;Preços;MENSAL;IPCA - geral - índice (dez. 1993 = 100);IPCA - geral - índice (dez. 1993 = 100);PRECOS12;Macro;;;
58;PRECOS12_INPCCO12;IBGE/SNIPC;Preços;MENSAL;INPC - comunicação - var.;INPC - comunicação - var.;PRECOS12;Macro;;;
59;PRECOS12_INPCED12;IBGE/SNIPC;Preços;MENSAL;INPC - educação, leitura e papelaria - var.;INPC - educação, leitura e papelaria - var.;PRECOS12;Macro;;;
60;PRECOS12_INPCAB12;IBGE/SNIPC;Preços;MENSAL;INPC - alimentos e bebidas - var.;INPC - alimentos e bebidas - var.;PRECOS12;Macro;;;
61;PRECOS12_INPCAR12;IBGE/SNIPC;Preços;MENSAL;INPC - artigos de residência - var.;INPC - artigos de residência - var.;PRECOS12;Macro;;;
62;PRECOS12_INPCCD12;IBGE/SNIPC;Preços;MENSAL;INPC - despesas pessoais - var.;INPC - despesas pessoais - var.;PRECOS12;Macro;;;
63;PRECOS12_INPCHA12;IBGE/SNIPC;Preços;MENSAL;INPC - habitação - var.;INPC - habitação - var.;PRECOS12;Macro;;;
64;PRECOS12_INPCSC12;IBGE/SNIPC;Preços;MENSAL;INPC - saúde e cuidados pessoais - var.;INPC - saúde e cuidados pessoais - var.;PRECOS12;Macro;;;
65;PRECOS12_INPCTC12;IBGE/SNIPC;Preços;MENSAL;INPC - transportes - var.;INPC - transportes - var.;PRECOS12;Macro;;;
66;PRECOS12_INPCVE12;IBGE/SNIPC;Preços;MENSAL;INPC - vestuário - var.;INPC - vestuário - var.;PRECOS12;Macro;;;
72;PRECOS12_IPCAG12;IBGE/SNIPC;Preços;MENSAL;Inflação - IPCA;Inflação: IPCA;PRECOS12;Macro;;;
80;PRECOS12_IPCASP12;IBGE/SNIPC;Preços;MENSAL;IPCA - SP - var.;IPCA - SP - var.;PRECOS12;Macro;;;
81;PRECOS12_IPCAAB12;IBGE/SNIPC;Preços;MENSAL;IPCA - alimentos e bebidas - var.;IPCA - alimentos e bebidas - var.;PRECOS12;Macro;;;
82;PRECOS12_IPCAAR12;IBGE/SNIPC;Preços;MENSAL;IPCA - artigos de residência - var.;IPCA - artigos de residência - var.;PRECOS12;Macro;;;
83;PRECOS12_IPCACD12;IBGE/SNIPC;Preços;MENSAL;IPCA - despesas pessoais - var.;IPCA - despesas pessoais - var.;PRECOS12;Macro;;;
84;PRECOS12_IPCACO12;IBGE/SNIPC;Preços;MENSAL;IPCA - comunicação - var.;IPCA - comunicação - var.;PRECOS12;Macro;;;
85;PRECOS12_IPCAED12;IBGE/SNIPC;Preços;MENSAL;IPCA - educação, leitura e papelaria - var.;IPCA - educação, leitura e papelaria - var.;PRECOS12;Macro;;;
86;PRECOS12_IPCAHA12;IBGE/SNIPC;Preços;MENSAL;IPCA - habitação - var.;IPCA - habitação - var.;PRECOS12;Macro;;;
87;PRECOS12_IPCASC12;IBGE/SNIPC;Preços;MENSAL;IPCA - saúde e cuidados pessoais - var.;IPCA - saúde e cuidados pessoais - var.;PRECOS12;Macro;;;
88;PRECOS12_IPCATC12;IBGE/SNIPC;Preços;MENSAL;IPCA - transportes - var.;IPCA - transportes - var.;PRECOS12;Macro;;;
89;PRECOS12_IPCAVE12;IBGE/SNIPC;Preços;MENSAL;IPCA - vestuário - var.;IPCA - vestuário - var.;PRECOS12;Macro;;;
91;PRECOS12_IPCA15G12;IBGE/SNIPC;Preços;MENSAL;Inflação - IPCA-15;Inflação - IPCA-15;PRECOS12;Macro;;;
286;SCN10_PIBN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - preços de mercado;Produto interno bruto (PIB) a preços de mercado;SCN10;Macro;;;
287;SCN10_VBPN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Produção;Produção;SCN10;Macro;;;
288;SCN10_IPBN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Impostos sobre produtos;Impostos sobre produtos;SCN10;Macro;;;
289;SCN10_CIN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Consumo intermediário;Consumo intermediário;SCN10;Macro;;;
290;SCN10_CTN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Consumo final;Consumo final;SCN10;Macro;;;
291;SCN10_CFPPNEXC10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Consumo final - famílias - exclusive ISFLSF;Consumo final das famílias - exclusive instituições sem fins de lucro a serviço das famílias (ISFLSF);SCN10;Macro;;;
292;SCN10_CFISFLSFN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Consumo final - ISFLSF;Consumo final das instituições sem fins de lucro a serviço das famílias (ISFLSF);SCN10;Macro;;;
293;SCN10_CFGGN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Consumo final - governo;Consumo final do governo;SCN10;Macro;;;
294;SCN10_FBKN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Capital - formação bruta;Formação bruta de capital;SCN10;Macro;;;
295;SCN10_FBKFN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Capital fixo - formação bruta;Formação bruta de capital fixo;SCN10;Macro;;;
296;SCN10_FBKFCN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Capital fixo - formação bruta - construção;Formação bruta de capital fixo - construção;SCN10;Macro;;;
297;SCN10_FBKFMN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Capital fixo - formação bruta - máquinas e equipamentos;Formação bruta de capital fixo - máquinas e equipamentos;SCN10;Macro;;;
298;SCN10_FBKFON10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Capital fixo - formação bruta - outros;Formação bruta de capital fixo - outros;SCN10;Macro;;;
299;SCN10_VESTON10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Capital - formação bruta - variação de estoque;Formação bruta de capital - variação de estoque;SCN10;Macro;;;
300;SCN10_XBSZN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Exportações - bens e serviços;Exportações de bens e serviços;SCN10;Macro;;;
301;SCN10_MBSZN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Importações - bens e serviços;Importações de bens e serviços;SCN10;Macro;;;
302;SCN10_RWTN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Remuneração dos empregados;Remuneração dos empregados;SCN10;Macro;;;
303;SCN10_RWN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Remuneração dos empregados - salários;Remuneração dos empregados - salários;SCN10;Macro;;;
304;SCN10_CSEN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Remuneração dos empregados - contribuições sociais efetivas;Remuneração dos empregados - contribuições sociais efetivas;SCN10;Macro;;;
305;SCN10_CSIGGN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Remuneração dos empregados - contribuições sociais imputadas;Remuneração dosempregados - contribuições sociais imputadas;SCN10;Macro;;;
306;SCN10_RLON10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Excedente operacional bruto e rendimento misto bruto;Excedente operacional bruto e rendimento misto bruto;SCN10;Macro;;;
307;SCN10_ISPIN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Impostos sobre a produção e importação;Impostos sobre a produção e importação;SCN10;Macro;;;
308;SCN10_CTNG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Consumo final - var. real anual;Consumo final: variação real anual;SCN10;Macro;;;
309;SCN10_CFPPNEXCG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Consumo final - famílias - exclusive ISFLSF - var. real anual;Consumo final das famílias - exclusive instituições sem fins de lucro a serviço das famílias (ISFLSF): variação real anual;SCN10;Macro;;;
310;SCN10_CFISFLSFNG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Consumo final - ISFLSF - var. real anual;Consumo final das instituições sem fins de lucro a serviço das famílias (ISFLSF): variação real anual;SCN10;Macro;;;
311;SCN10_CFGG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Consumo final - governo - var. real anual;Consumo final do governo: variação real anual;SCN10;Macro;;;
312;SCN10_FBKG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Capital - formação bruta - var. real anual;Formação bruta de capital: variação real anual;SCN10;Macro;;;
313;SCN10_FBKFG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Capital fixo - formação bruta - var. real anual;Formação bruta de capital fixo: variação real anual;SCN10;Macro;;;
314;SCN10_FBKFCG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Capital fixo - formação bruta - construção - var. real anual;Formação bruta de capital fixo - construção: variação real anual;SCN10;Macro;;;
315;SCN10_FBKFMG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Capital fixo - formação bruta - máquinas e equipamentos -  var. real anual;Formação bruta de capital fixo - máquinas e equipamentos: variação real anual;SCN10;Macro;;;
316;SCN10_FBKFOG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Capital fixo - formação bruta - outros -  var. real anual;Formação bruta de capital fixo - outros: variação real anual;SCN10;Macro;;;
317;SCN10_VESTOG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Capital - formação bruta - variação de estoque - var. real anual;Formação bruta de capital - variação de estoque: variação real anual;SCN10;Macro;;;
318;SCN10_XBSZG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Exportações - bens e serviços - var. real anual;Exportações de bens e serviços: variação real anual;SCN10;Macro;;;
319;SCN10_MBSZG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Importações - bens e serviços - var. real anual;Importações de bens e serviços: variação real anual;SCN10;Macro;;;
320;SCN10_DIPIBG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - preços de mercado - deflator implícito - var. anual;Produto interno bruto (PIB) a preços de mercado - deflator implícito: variação anual;SCN10;Macro;;;
321;SCN10_PIBG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - preços de mercado - var. real anual;Produto interno bruto (PIB) a preços de mercado: variação real anual;SCN10;Macro;;;
322;SCN10_FBKFPIBV10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Taxa de investimento - preços correntes;Taxa de investimento a preços correntes;SCN10;Macro;;;
323;SCN10_PIBPBN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - preços básicos;Produto interno bruto (PIB) a preços básicos;SCN10;Macro;;;
324;SCN10_VAAGRON10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - agropecuária;Produto interno bruto (PIB) - agropecuária;SCN10;Macro;;;
325;SCN10_VAINDN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria;Produto interno bruto (PIB) - indústria;SCN10;Macro;;;
326;SCN10_VAEMN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - extrativa;Produto interno bruto (PIB) - indústria extrativa;SCN10;Macro;;;
327;SCN10_VAITN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - transformação;Produto interno bruto (PIB) - indústria de transformação;SCN10;Macro;;;
328;SCN10_VASUPN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - eletricidade e gás, água, esgoto e limpeza urbana;Produto interno bruto (PIB) - indústria - produção e distribuição de eletricidade e gás, água, esgoto e limpeza urbana;SCN10;Macro;;;
329;SCN10_VACON10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - construção civil;Produto interno bruto (PIB) - indústria - construção civil;SCN10;Macro;;;
330;SCN10_VASERVN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços;Produto interno bruto (PIB) - serviços;SCN10;Macro;;;
331;SCN10_VACOMN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - comércio;Produto interno bruto (PIB) - serviços - comércio;SCN10;Macro;;;
332;SCN10_VATRAN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - transporte, armazenagem e correio;Produto interno bruto (PIB) - serviços - transporte, armazenagem e correios;SCN10;Macro;;;
333;SCN10_VACCN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - serviços de informação;Produto interno bruto (PIB) - serviços - serviços de informação;SCN10;Macro;;;
334;SCN10_VAIFN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - intermediação financeira;Produto interno bruto (PIB) - serviços - intermediação financeira, seguros e previdência complementar e serviços relacionados;SCN10;Macro;;;
335;SCN10_VAALN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - atividades imobiliárias;Produto interno bruto (PIB) - serviços - atividades imobiliárias;SCN10;Macro;;;
336;SCN10_VAOUTSN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - outros;Produto interno bruto (PIB) - serviços - outros;SCN10;Macro;;;
337;SCN10_VAADMN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - administração, saúde e educação públicas e seguridade social;Produto interno bruto (PIB) - serviços - administração, saúde e educação públicas e seguridade social;SCN10;Macro;;;
338;SCN10_PIBPBG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - preços básicos - var. real anual;Produto interno bruto (PIB) a preços básicos: variação real anual;SCN10;Macro;;;
339;SCN10_VAAGROG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - agropecuária - var. real anual;Produto interno bruto (PIB) - agropecuária: variação real anual;SCN10;Macro;;;
340;SCN10_VAINDG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - var. real anual;Produto interno bruto (PIB) - indústria: variação real anual;SCN10;Macro;;;
341;SCN10_VAEMG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - extrativa - var. real anual;Produto interno bruto (PIB) - indústria extrativa: variação real anual;SCN10;Macro;;;
342;SCN10_VAITG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - transformação - var. real anual;Produto interno bruto (PIB) - indústria de transformação: variação real anual;SCN10;Macro;;;
343;SCN10_VASUPG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - eletricidade e gás, água, esgoto e limpeza urbana -  var. real anual;Produto interno bruto (PIB) - indústria - produção e distribuição de eletricidade e gás, água, esgoto e limpeza urbana: variação real anual;SCN10;Macro;;;
344;SCN10_VACOG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - construção civil - var. real anual;Produto interno bruto (PIB) - indústria - construção civil: variação real anual;SCN10;Macro;;;
345;SCN10_VASERVG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - var. real anual;Produto interno bruto (PIB) - serviços: variação real anual;SCN10;Macro;;;
346;SCN10_VACOMG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - comércio - var. real anual;Produto interno bruto (PIB) - serviços - comércio: variação real anual;SCN10;Macro;;;
347;SCN10_VATRAG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - transporte, armazenagem e correio - var. real anual;Produto interno bruto (PIB) - serviços - transporte, armazenagem e correios: variação real anual;SCN10;Macro;;;
348;SCN10_VACCG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - serviços de informação - var. real anual;Produto interno bruto (PIB) - serviços - serviços de informação: variação real anual;SCN10;Macro;;;
349;SCN10_VAIFG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - intermediação financeira - var. real anual;Produto interno bruto (PIB) - serviços - intermediação financeira, seguros e previdência complementar e serviços relacionados: variação real anual;SCN10;Macro;;;
350;SCN10_VAALG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - atividades imobiliárias - var. real anual;Produto interno bruto (PIB) - serviços - atividades imobiliárias: variação real anual;SCN10;Macro;;;
351;SCN10_VAOUTSG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - outros - var. real anual;Produto interno bruto (PIB) - serviços - outros: variação real anual;SCN10;Macro;;;
352;SCN10_VAADMG10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - administração, saúde e educação públicas e seguridade social - var. real anual;Produto interno bruto (PIB) - serviços - administração, saúde e educação públicas e seguridade social: variação real anual;SCN10;Macro;;;
353;SCN10_VAAGROY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - agropecuária - preços correntes;Produto interno bruto (PIB) - agropecuária a preços correntes;SCN10;Macro;;;
354;SCN10_VAINDY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - preços correntes;Produto interno bruto (PIB) - indústria a preços correntes;SCN10;Macro;;;
355;SCN10_VAEMY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - extrativa - preços correntes;Produto interno bruto (PIB) - indústria extrativa a preços correntes;SCN10;Macro;;;
356;SCN10_VAITY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - transformação - preços correntes;Produto interno bruto (PIB) - indústria de transformação a preços correntes;SCN10;Macro;;;
357;SCN10_VASUPY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - eletricidade e gás, água, esgoto e limpeza urbana  - preços correntes;Produto interno bruto (PIB) - indústria - produção e distribuição de eletricidade e gás, água, esgoto e limpeza urbana a preços correntes;SCN10;Macro;;;
358;SCN10_VACOY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - construção civil - preços correntes;Produto interno bruto (PIB) - indústria - construção civil a preços correntes;SCN10;Macro;;;
359;SCN10_VASERVY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - preços correntes;Produto interno bruto (PIB) - serviços a preços correntes;SCN10;Macro;;;
360;SCN10_VACOMY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - comércio - preços correntes;Produto interno bruto (PIB) - serviços - comércio a preços correntes;SCN10;Macro;;;
361;SCN10_VATRAY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - transporte, armazenagem e correio - preços correntes;Produto interno bruto (PIB) - serviços - transporte, armazenagem e correios a preços correntes;SCN10;Macro;;;
362;SCN10_VACCY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - serviços de informação - preços correntes;Produto interno bruto (PIB) - serviços - serviços de informação a preços correntes;SCN10;Macro;;;
363;SCN10_VAIFY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - intermediação financeira - preços correntes;Produto interno bruto (PIB) - serviços - intermediação financeira, seguros e previdência complementar e serviços relacionados a preços correntes;SCN10;Macro;;;
364;SCN10_VAALY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - atividades imobiliárias - preços correntes;Produto interno bruto (PIB) - serviços - atividades imobiliárias a preços correntes;SCN10;Macro;;;
365;SCN10_VAOUTSY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - outros - preços correntes;Produto interno bruto (PIB) - serviços - outros a preços correntes;SCN10;Macro;;;
366;SCN10_AADMY10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - serviços - administração, saúde e educação públicas e seguridade social - preços correntes;Produto interno bruto (PIB) - serviços - administração, saúde e educação públicas e seguridade social a preços correntes;SCN10;Macro;;;
374;SCN10_SUBPRON10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Subsídios aos produtos;Subsídios aos produtos;SCN10;Macro;;;
375;SCN10_DAN10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;Demanda total;Demanda total;SCN10;Macro;;;
434;SCN10_PIB10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - preços de mercado - índice (base 2010 = 100);Produto interno bruto (PIB) a preços de mercado:  índice (base 2010 = 100);SCN10;Macro;;;
435;SCN10_PIBPB10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - preços básicos - índice (base 2010 = 100);Produto interno bruto (PIB) a preços básicos:  índice (base 2010 = 100);SCN10;Macro;;;
436;SCN10_VAAGRO10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - agropecuária - índice (base 2010 = 100);Produto interno bruto (PIB) - agropecuária:  índice (base 2010 = 100);SCN10;Macro;;;
437;SCN10_VAEM10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - extrativa mineral - índice (base 2010 = 100);Produto interno bruto (PIB) - indústria extrativa mineral:  índice (base 2010 = 100);SCN10;Macro;;;
438;SCN10_VAIT10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - transformação - índice (base 2010 = 100);Produto interno bruto (PIB) - indústria de transformação:  índice (base 2010 = 100);SCN10;Macro;;;
439;SCN10_VASUP10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - eletricidade e gás, água, esgoto e limpeza urbana -  índice (base 2010 = 100);Produto interno bruto (PIB) - indústria - produção e distribuição de eletricidade e gás, água, esgoto e limpeza urbana:  índice (base 2010 = 100);SCN10;Macro;;;
440;SCN10_VACO10;IBGE/SCN 2010 Anual;Contas nacionais;ANUAL;PIB - indústria - construção civil - índice (base 2010 = 100);Produto interno bruto (PIB) - indústria - construção civil:  índice (base 2010 = 100);SCN10;Macro;;;
