;SERCODIGOTROLL;FNTID;TEMID;PERID;SERNOME_P;SERDESCRICAO_P;BANCO;GRANDE_TEMA;Extração de dados;Link da fonte;Link no comentário (se houver)
164;FUNCEX_XQMAQEQU2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: máquinas e equipamentos - quantum - índice (média 2006 = 100);Exportações - setor: máquinas e equipamentos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
165;FUNCEX_XQMAQINF2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: eq. de informática, eletrônicos e ópticos - quantum - índice (média 2006 = 100);Exportações - setor: equipamentos de informática, produtos eletrônicos e ópticos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
166;FUNCEX_XQMETBAS2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: metalurgia - quantum - índice (média 2006 = 100);Exportações - setor: metalurgia - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
167;FUNCEX_XQMET2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos de metal - quantum - índice (média 2006 = 100);Exportações - setor: produtos de metal, exceto  máquinas e equipamentos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
168;FUNCEX_XQMNM2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos de minerais não-metálicos - quantum - índice (média 2006 = 100);Exportações - setor: produtos de minerais não-metálicos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
169;FUNCEX_XQMOV2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: móveis - quantum - índice (média 2006 = 100);Exportações - setor: móveis - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
170;FUNCEX_XQOUTTRANS2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: outros equipamentos de transporte - quantum - índice (média 2006 = 100);Exportações - setor: outros equipamentos de transporte, exceto veículos automotores - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
171;FUNCEX_XQPAP2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: celulose, papel e produtos de papel - quantum - índice (média 2006 = 100);Exportações - setor: celulose, papel e produtos de papel - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
172;FUNCEX_XQPETCOMB2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: derivados do petróleo - quantum - índice (média 2006 = 100);Exportações - setor: derivados do petróleo biocombustíveis e coque - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
173;FUNCEX_XQPLAS2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos de borracha e material plástico - quantum - índice (média 2006 = 100);Exportações - setor: produtos de borracha e de material plástico - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
174;FUNCEX_XQQUIM2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos químicos - quantum - índice (média 2006 = 100);Exportações - setor: produtos químicos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
175;FUNCEX_XQTEXT2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos têxteis - quantum - índice (média 2006 = 100);Exportações - setor: produtos têxteis - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
176;FUNCEX_XQVEIC2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: veículos automotores, reboques,carrocerias - quantum - índice(média 2006 = 100);Exportações - setor: veículos automotores, reboques, carrocerias - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
177;FUNCEX_XQVEST2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: artigos de vestuário e acessórios - quantum - índice (média 2006 = 100);Exportações - setor: confecção de artigos do  vestuário e acessórios - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
178;FUNCEX_XQDIV2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: indústrias diversas - quantum - índice (média 2006 = 100);Exportações - setor: indústrias diversas - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
179;FUNCEX_XQPRF2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produção florestal - quantum - índice (média 2006 = 100);Exportações - setor: produção florestal - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
180;FUNCEX_XQPES2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: pesca e aqüicultura - quantum - índice (média 2006 = 100);Exportações - setor: pesca e aqüicultura - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
181;FUNCEX_XQFUMO2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos do fumo - quantum - índice (média 2006 = 100);Exportações - setor: produtos do fumo - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
182;FUNCEX_XQIXQG2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: impressão e reprodução de gravações - quantum - índice (média 2006 = 100);Exportações - setor: impressão e reprodução de gravações - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
183;FUNCEX_XQFARM2N;Funcex;Comércio exterior;ANUAL;Exportações - setor: produtos farmoquímicos farmacêuticos - quantum - índice (média 2006 = 100);Exportações - setor: produtos farmoquímicos farmacêuticos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
184;FUNCEX_MQAGP2N;Funcex;Comércio exterior;ANUAL;Importações - setor: agricultura e pecuária - quantum - índice (média 2006 = 100);Importações - setor: agricultura e pecuária - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
185;FUNCEX_MQAL2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos alimentícios - quantum - índice (média 2006 = 100);Importações - setor: produtos alimentícios - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
186;FUNCEX_MQBEB2N;Funcex;Comércio exterior;ANUAL;Importações - setor: bebidas - quantum - índice (média 2006 = 100);Importações - setor: bebidas - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
187;FUNCEX_MQCAL2N;Funcex;Comércio exterior;ANUAL;Importações - setor: couros, artefatos de couro e calçados - quantum - índice (média 2006 = 100);Importações - setor: couros, artefatos de couro, artigos para viagem e calçados - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
188;FUNCEX_MQEMM2N;Funcex;Comércio exterior;ANUAL;Importações - setor: extração de minerais metálicos - quantum - índice (média 2006 = 100);Importações - setor: extração de minerais metálicos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
189;FUNCEX_MQEMNM2N;Funcex;Comércio exterior;ANUAL;Importações - setor: extração de minerais não-metálicos - quantum - índice (média 2006 = 100);Importações - setor: extração de minerais não-metálicos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
190;FUNCEX_MQEPET2N;Funcex;Comércio exterior;ANUAL;Importações - setor: extração de petróleo e gás natural - quantum - índice (média 2006 = 100);Importações - setor: extração de petróleo e gás natural - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
191;FUNCEX_MQMAD2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos de madeira - quantum - índice (média 2006 = 100);Importações - setor: produtos de madeira - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
192;FUNCEX_MQMAQELET2N;Funcex;Comércio exterior;ANUAL;Importações - setor: máquinas, aparelhos e materiais elétricos - quantum - índice (média 2006 = 100);Importações - setor: máquinas, aparelhos e materiais elétricos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
193;FUNCEX_MQMAQEQU2N;Funcex;Comércio exterior;ANUAL;Importações - setor: máquinas e equipamentos - quantum - índice (média 2006 = 100);Importações - setor: máquinas e equipamentos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
194;FUNCEX_MQMAQINF2N;Funcex;Comércio exterior;ANUAL;Importações - setor: eq. de informática, eletrônicos e ópticos - quantum - índice (média 2006 = 100);Importações - setor: equipamentos de informática, produtos eletrônicos e ópticos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
195;FUNCEX_MQMETBAS2N;Funcex;Comércio exterior;ANUAL;Importações - setor: metalurgia - quantum - índice (média 2006 = 100);Importações - setor: metalurgia - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
196;FUNCEX_MQMET2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos de metal - quantum - índice (média 2006 = 100);Importações - setor: produtos de metal, exceto  máquinas e equipamentos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
197;FUNCEX_MQMNM2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos de minerais não-metálicos - quantum - índice (média 2006 = 100);Importações - setor: produtos de minerais não-metálicos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
198;FUNCEX_MQMOV2N;Funcex;Comércio exterior;ANUAL;Importações - setor: móveis - quantum - índice (média 2006 = 100);Importações - setor: móveis - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
199;FUNCEX_MQOUTTRANS2N;Funcex;Comércio exterior;ANUAL;Importações - setor: outros equipamentos de transporte - quantum - índice (média 2006 = 100);Importações - setor: outros equipamentos de transporte, exceto veículos automotores - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
200;FUNCEX_MQPAP2N;Funcex;Comércio exterior;ANUAL;Importações - setor: celulose, papel e produtos de papel - quantum - índice (média 2006 = 100);Importações - setor: celulose, papel e produtos de papel - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
201;FUNCEX_MQPETCOMB2N;Funcex;Comércio exterior;ANUAL;Importações - setor: derivados do petróleo - quantum - índice (média 2006 = 100);Importações - setor: derivados do petróleo biocombustíveis e coque - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
202;FUNCEX_MQPLAS2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos de borracha e material plástico - quantum - índice (média 2006 = 100);Importações - setor: produtos de borracha e de material plástico - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
203;FUNCEX_MQQUIM2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos químicos - quantum - índice (média 2006 = 100);Importações - setor: produtos químicos - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
204;FUNCEX_MQTEXT2N;Funcex;Comércio exterior;ANUAL;Importações - setor: produtos têxteis - quantum - índice (média 2006 = 100);Importações - setor: produtos têxteis - quantum - índice (média 2006 = 100);FUNCEX;Macro;;;
